Movies,Boxoffice,IMDB_Vote,IMDB_Rating
Reality Bites_(B),20982557,44049,6.6
Heavyweights_(B),17689177,24147,6.6
If Lucy Fell_(B),2420162,3717,4.9
Flirting With Diaster_(B),14702438,17117,6.7
The Cable Guy_(B),60240295,146799,6.1
Zero Effect_(B),2087471,13546,6.9
There's Something About Mary_(B),176484651,282559,7.1
Your Friends & Neighbors_(B),4714658,7553,6.3
Mystery Men_(B),29762011,60344,6.1
Black & White_(B),5277299,5447,4.9
Keeping the Faith_(B),37047880,48875,6.3
Meet the Parents_(B),166244045,301677,7
Zoolander_(B),45172250,239234,6.5
The Royal Tenenbaums_(B),52364010,256124,7.6
Duplex_(B),9692135,53849,5.9
Along Came Polly_(B),88097164,122379,6
Starsky & Hutch_(B),88237754,135204,6.1
Envy_(B),13562325,29283,4.8
Dodgeball_(B),114326736,221837,6.7
Meet the Fockers_(B),279261160,245391,6.3
Madagascar_(B),193595521,350766,6.9
School for Scoundrels_(B),17807569,28429,5.9
Tenacious D in the Pick of Destiny_(B)ÿ,8334575,99186,6.8
Night at the Museum_(B),250863268,301348,6.4
The Heartbreak kid_(B),36787257,82550,5.8
Tropic Thunder_(B),110515313,365909,7
Madagascar: Escape 2 Africa_(B),180010950,195520,6.6
Night at the Museum: Battle of the Smithsonian_(B),177243721,169443,6
Greenberg_(B),4234170,34975,6.1
Little Fockers_(B),148438600,102994,5.5
Tower Heist_(B),78046570,129459,6.2
Madagascar 3: Europe's Most Wanted_(B),216391482,155509,6.8
The Watch_(B),35353000,118622,5.7
The Secret Life of Walter Mitty_(B),58236838,284394,7.3
Night at the Museum: Secret of the Tomb_(B),113746621,100072,6.2
Zoolander 2_(B),28848693,62465,4.7
