Boxoffice_Receipt_1,Movies ,Number_of_IMDB_Votes_1,IMDB_Rating,00s_ Movies,Boxoffice_Receipt_2,Number_of_IMDB votes_2,IMDB_Rating_2,10_Movies,Boxoffice_Receipt_3,Number_of_IMDB_votes_3,IMDB_Rating_3
"$21,274,717 ",Coneheads_(A),"48,862",5.3,Little Nicky_(A),"$39,464,775 ","94,922",5.3,Grown Ups_(A),"$162,001,186 ","219,787",5.9
"$5,751,882 ",Airheads_(A),"44,701",6.1,Punch-Drunk Loveÿ_(A),"$17,844,216 ","140,638",7.3,Just Go with It_(A),"$103,028,109 ","211,275",6.4
"$6,821,850 ",Mixed Nuts(A),"9,997",5.5,Mr.Deeds_(A),"$126,293,452 ","131,679",5.8,Jack & Jill_(A),"$74,158,157 ","74,969",3.3
"$25,588,734 ",Billy Madison_(A),"126,196",6.4,Eight Crazy Nights_(A),"$23,586,598 ","20,932",5.4,That's My Boy_(A),"$36,931,089 ","87,073",5.5
"$38,824,099 ",Happy Gilmore_(A),"188,839",7,Anger Management_(A),"$135,645,823 ","197,987",6.3,Hotel Transylvania_(A),"$148,313,048 ","214,360",7.1
"$21,576,954 ",Bulletproof_(A),"34,042",5.8,50 First Dates_(A),"ÿ              $120,908,074","315,271",6.8,Grown Ups 2_(A),"$133,668,525 ","134,829",5.4
"$80,245,725 ",The Wedding Singer_(A),"129,829",6.8,Spanglish_(A),"$42,726,869 ","76,212",6.4,Blended_(A),"$46,294,610 ","112,298",6.5
"$161,491,646 ",The WaterBoy_(A),"143,542",6.1,The Longest Yard_(A),"$158,119,460 ","156,753",6.4,Top Five_(A),"$25,317,471 ","25,270",6.4
"$163,479,795 ",Big Daddy_(A),"192,413",6.4,Click_(A),"$137,355,633 ","295,099",6.4,Pixel_(A),"$78,747,585 ","126,072",5.5
"$53,883,989 ",Austin Powers: Man of mystery_(W),"214,558",7,Reign Over Me_(A),"$19,661,987 ","91,493",7.4,Hotel Transylvania 2_(A),"$169,700,110 ","100,441",6.7
"$30,331,165 ",A Night at the Roxbury_(W),"55,228",6.3,I Now Pronounce you Chuck & Larry_(A),"$120,059,556 ","137,221",5.9,Hotel Transylvania 3: Summer Vacation_(A),"$167,510,016 ","50,695",6.3
"$206,040,086 ",Austin Powers: The Spy who_(W),"210,762",6.6,You Don't Mess with the Zohan_(A),"$100,018,837 ","184,464",5.5,Uncut Gems_(A),"$50,023,780 ","150,592",7.5
"$6,262,878 ",Dick_(W),"18,023",6.1,Bedtime Stories_(A),"$110,101,975 ","85,482",6,The Other Guys_(W),"$119,219,978 ","233,298",6.6
"$30,636,478 ",Superstar_(W),"17,494",5.2,Funny People_(A),"$51,855,045 ","111,774",6.3,Everything Must Go_(W),"$2,711,643 ","46,796",6.4
