Movies,Boxoffice_Receipt,Number_of_IMDB_Votes_1,IMDB_Rating
Coneheads_(A),21274717,48862,5.3
Airheads_(A),5751882,44701,6.1
Mixed Nuts(A),6821850,9997,5.5
Billy Madison_(A),25588734,126196,6.4
Happy Gilmore_(A),38824099,188839,7
Bulletproof_(A),21576954,34042,5.8
The Wedding Singer_(A),80245725,129829,6.8
The WaterBoy_(A),161491646,143542,6.1
Big Daddy_(A),163479795,192413,6.4
Little Nicky_(A),39464775,94922,5.3
Punch-Drunk Loveÿ_(A),17844216,140638,7.3
Mr.Deeds_(A),126293452,131679,5.8
Eight Crazy Nights_(A),23586598,20932,5.4
Anger Management_(A),135645823,197987,6.3
50 First Dates_(A),120908074,315271,6.8
Spanglish_(A),42726869,76212,6.4
The Longest Yard_(A),158119460,156753,6.4
Click_(A),137355633,295099,6.4
Reign Over Me_(A),19661987,91493,7.4
I Now Pronounce you Chuck & Larry_(A),120059556,137221,5.9
You Don't Mess with the Zohan_(A),100018837,184464,5.5
Bedtime Stories_(A),110101975,85482,6
Funny People_(A),51855045,111774,6.3
Grown Ups_(A),162001186,219787,5.9
Just Go with It_(A),103028109,211275,6.4
Jack & Jill_(A),74158157,74969,3.3
That's My Boy_(A),36931089,87073,5.5
Hotel Transylvania_(A),148313048,214360,7.1
Grown Ups 2_(A),133668525,134829,5.4
Blended_(A),46294610,112298,6.5
Top Five_(A),25317471,25270,6.4
Pixel_(A),78747585,126072,5.5
Hotel Transylvania 2_(A),169700110,100441,6.7
Hotel Transylvania 3: Summer Vacation_(A),167510016,50695,6.3
Uncut Gems_(A),50023780,150592,7.5
