Movies,Boxoffice,IMDB_Votes,IMDB_Rating
Austin Powers: Man of mystery_(W),53883989,214558,7
A Night at the Roxbury_(W),30331165,55228,6.3
Austin Powers: The Spy who_(W),206040086,210762,6.6
Dick_(W),6262878,18023,6.1
Superstar_(W),30636478,17494,5.2
Drowning Mona_(W),15506764,12881,5.7
The Ladies Man_(W),13616610,12140,5.2
Jay and Silent Bob Strike Back_(W),30085147,145616,6.8
Zoolander_(W),45172250,239228,6.5
Elf_(W),174626840,208613,6.9
Anchorman: The Legend of Ron Burgundy_(W),85288303,319554,7.2
Melinda & Melinda_(W),3826280,30384,6.4
Kicking & Screaming_(W),52842724,34985,5.6
Bewitched_(W),63313159,67140,4.8
The Producers_(W),19398532,39610,6.3
Curious George_(W),58360760,14938,6.5
Talladega Nights: The Ballad of Ricky Bobby_(W),148213377,161340,6.6
Stranger Than Fiction_(W),40660952,212869,7.6
Blades of Glory_(W),118594548,152967,6.3
Semi-Pro_(W),33479698,76631,5.8
Old School_(W),75585093,209170,7.1
Step Brothers_(W),100468793,258503,6.9
Land of the Lost_(W),49438370,63382,5.3
The Other Guys_(W),119219978,233298,6.6
Everything Must Go_(W),2711643,46796,6.4
Megamind_(W),148415853,218081,7.2
The Campaign_(W),86907746,121780,6.1
Anchorman 2: The Legend Continues_(W),127352707,162831,6.3
The Lego Movie_(W),257760692,315322,8
Get Hard_(W),90411453,116937,6
Daddy's Home_(W),150357137,103202,6.2
Zoolander 2_(W),28848693,62465,4.7
The House_(W),25584504,38239,5.6
Daddy's Home 2_(W),104029443,57028,6
Holmes & Watson_(W),30573626,26680,3.8
The Lego Movie 2: The Second Part_(W),105806508,48131,6.6
